,Reference_Product,Product_Desciption,Product_Price,Disponibility
52,[OPPO-A5S3G32-BK],"Double SIM - Ecran 6.2"" HD+ - Processeur MTK MT6765 - Android 8.1 - RAM 3 Go - Mémoire 32 Go extensible à 256 Go - Appareil Photo 13 MP + 2 MP (Arrière) / 8 MP (Avant) - 4G - Wifi - Bluetooth - Batterie 4230 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)
* Ce Produit est disponible exclusivement dans notre magasin.","499,000 TND",En stock
53,[OPPO-A5S3G32-RD],"Double SIM - Ecran 6.2"" HD+ - Processeur MTK MT6765 - Android 8.1 - RAM 3 Go - Mémoire 32 Go extensible à 256 Go - Appareil Photo 13 MP + 2 MP (Arrière) / 8 MP (Avant) - 4G - Wifi - Bluetooth - Batterie 4230 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)
* Ce Produit est disponible exclusivement dans notre magasin.","499,000 TND",En stock
54,[CAMON11-BK],"Double SIM - Ecran 6.2"" HD+ - Résolution: 1500 x 720px - Processeur Mediatek MT6761 Quad-core 1.5 GHz - RAM 2 Go - Mémoire 16 Go - Android 8.1 Oreo - 2x Appareils Photos 13 MP + 2 MP Arrière, 16 MP Avant avec Flash - Batterie 3750 mAh - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte 50 Go","539,000 TND",En stock
55,[CAMON11-RD],"Double SIM - Ecran 6.2"" HD+ - Résolution: 1500 x 720px - Processeur Mediatek MT6761 Quad-core 1.5 GHz - RAM 2 Go - Mémoire 16 Go - Android 8.1 Oreo - 2x Appareils Photos 13 MP + 2 MP Arrière, 16 MP Avant avec Flash - Batterie 3750 mAh - Wifi - 4G - Bluetooth - GPS - Garantie 1 an + SIM Orange Offerte 50 Go","539,000 TND",En stock
56,[REDMI7-BL],"Double SIM - Écran 6.26"" HD+ - Processeur Qualcomm Snapdragon 632 Octa-core 1.8 GHz - RAM 3 Go - Mémoire 32 Go, Micro SD Jusqu'à 512 Go - Android 9.0 Pie - 2x Appareils Photo: 12MP + 2MP (Arrière), 8MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Capteur d'empreintes digitales - Garantie 1 an + SIM Orange Offerte (50 Go)","559,000 TND",En stock
57,[REDMI7-BK],"Double SIM - Écran 6.26"" HD+ - Processeur Qualcomm Snapdragon 632 Octa-core 1.8 GHz - RAM 3 Go - Mémoire 32 Go, Micro SD Jusqu'à 512 Go - Android 9.0 Pie - 2x Appareils Photo: 12MP + 2MP (Arrière), 8MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Capteur d'empreintes digitales - Garantie 1 an + SIM Orange Offerte (50 Go)","559,000 TND",En stock
58,[NOKIA3.2-364-BK],"Double SIM - Ecran 6.26"" HD+ - Processeur Qualcomm Snapdragon 429 Quad-core 1.8 GHz - RAM 3 Go - Mémoire 64 Go up to 128 Go - Android 9.0 Pie - 2x Appareils Photo 13 MP (Arrière), 5 MP (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Couleur Noir - Garantie 1 an + SIM Orange Offerte 50 Go","569,000 TND",En stock
59,[NOKIA3.2-364-ST],"Double SIM - Ecran 6.26"" HD+ - Processeur Qualcomm Snapdragon 429 Quad-core 1.8 GHz - RAM 3 Go - Mémoire 64 Go up to 128 Go - Android 9.0 Pie - 2x Appareils Photo 13 MP (Arrière), 5 MP (Avant) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Couleur Silver - Garantie 1 an + SIM Orange Offerte 50 Go","569,000 TND",En stock
60,[TA-1021DS-SL],"Double SIM - Ecran 5.5"" Full HD IPS Verre Corning Gorilla - Processeur Qualcomm Snapdragon 430 Octa-core - RAM 3 Go - Mémoire 32 Go - Carte MicroSD jusqu'à 128 Go - Android 7.0 Nougat - 2x Appareils Photo 16 Mégapixels autofocus (Arrière), 8 Mégapixels (Avant) - 4G - Détecteur d’empreintes digitales - Garantie 1 an + SIM Orange Offerte (60 Go)","589,000 TND",En stock
61,[TA-1021DS-CR],"Double SIM - Ecran 5.5"" Full HD IPS - Processeur Qualcomm Snapdragon 430 Octa-core - RAM 3 Go - Mémoire 32 Go - Carte MicroSD jusqu'à 128 Go - Android 7.0 Nougat - 2x Appareils Photo 16 Mégapixels autofocus (Arrière), 8 Mégapixels (Avant) - 4G - Détecteur d’empreintes digitales - Couleur Cuivre - Garantie 1 an + SIM Orange Offerte (60 Go)","589,000 TND",En stock
62,[Y7-PRIME-2019-BK],"Double SIM - Ecran 6.26"" HD+ - Processeur Qualcomm SDM450 Snapdragon 450 Octa-core 1.8 GHz Cortex-A53 - Android 8.1 Oreo; EMUI 8.2 - RAM 3 Go - Mémoire 32 Go up to 512 Go - Caméra frontale: 16 MP - Caméra arrière: 13 MP + 2 MP - Wifi - 4G - Bluetooth - Reconnaissance faciale - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","599,000 TND",En stock
